hotel_id,hotel_name,n_comment,n_star,url,Price
55,Holiday Inn London - West,1190,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d313125-Reviews-Holiday_Inn_London_West-London_England.html,£96
56,Lansbury Heritage Hotel,391,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12259847-Reviews-Lansbury_Heritage_Hotel-London_England.html,£100
57,The Fielding Hotel,837,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d210069-Reviews-The_Fielding_Hotel-London_England.html,£134
58,The Westbridge Hotel,2063,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d3398027-Reviews-The_Westbridge_Hotel-London_England.html,£96
59,ibis London Canning Town Hotel,541,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12938460-Reviews-Ibis_London_Canning_Town_Hotel-London_England.html,£90
60,Jesmond Dene Hotel,1916,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d254570-Reviews-Jesmond_Dene_Hotel-London_England.html,£122
61,Rhodes Hotel,1682,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d214653-Reviews-Rhodes_Hotel-London_England.html,£145
62,The President Hotel,4385,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d189041-Reviews-The_President_Hotel-London_England.html,£105
63,Travelodge London Central City Road,1683,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d734603-Reviews-Travelodge_London_Central_City_Road-London_England.html,£120
64,SoHostel,893,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d7104673-Reviews-SoHostel-London_England.html,£78
65,SponsoredThe Prince Akatoki London,71,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1626349-Reviews-The_Prince_Akatoki_London-London_England.html,£383
66,Conrad London St. James,4860,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2309633-Reviews-Conrad_London_St_James-London_England.html,£260
67,"The Langham, London",1551,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d187569-Reviews-The_Langham_London-London_England.html,£366
68,The Landmark London,230,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193105-Reviews-The_Landmark_London-London_England.html,£359
69,St. Pancras Renaissance Hotel London,4231,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1866705-Reviews-St_Pancras_Renaissance_Hotel_London-London_England.html,£348
70,The Hari,1448,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2413342-Reviews-The_Hari-London_England.html,£320
71,SponsoredDanubius Hotel Regents Park,1718,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193129-Reviews-Danubius_Hotel_Regents_Park-London_England.html,£134
72,The Montague on The Gardens,5090,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192036-Reviews-The_Montague_on_The_Gardens-London_England.html,£222
73,Amba Hotel Charing Cross,5787,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193104-Reviews-Amba_Hotel_Charing_Cross-London_England.html,£222
74,Radisson Blu Edwardian Mercer Street Hotel,4146,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192034-Reviews-Radisson_Blu_Edwardian_Mercer_Street_Hotel-London_England.html,£221
75,Washington Mayfair Hotel,1376,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192066-Reviews-Washington_Mayfair_Hotel-London_England.html,£250
76,Park International Hotel,2832,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192145-Reviews-Park_International_Hotel-London_England.html,£199
77,The Resident Soho (formerly The Nadler Soho),2946,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d4062677-Reviews-The_Resident_Soho_formerly_The_Nadler_Soho-London_England.html,£242
78,The Kensington,3742,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1371050-Reviews-The_Kensington-London_England.html,£260
79,Pelican London Hotel and Residence,263,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d7182494-Reviews-Pelican_London_Hotel_and_Residence-London_England.html,£153
80,Hilton London Tower Bridge,4964,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d614236-Reviews-Hilton_London_Tower_Bridge-London_England.html,£280
81,"Club Quarters Hotel, Trafalgar Square",3274,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1477336-Reviews-Club_Quarters_Hotel_Trafalgar_Square-London_England.html,£212
82,Radisson Blu Edwardian Kenilworth Hotel,3827,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192037-Reviews-Radisson_Blu_Edwardian_Kenilworth_Hotel-London_England.html,£195
83,Novotel London Tower Bridge,3565,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d199157-Reviews-Novotel_London_Tower_Bridge-London_England.html,£210
84,Holiday Inn London - Camden Lock,1966,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d277089-Reviews-Holiday_Inn_London_Camden_Lock-London_England.html,£202
